ET,AEFUEL,FINJ_MULT,KAMRF1,LAMBSE1,PWOFF,ISCDTY,ISCTMR,EGRFLO,SAF,SAFTOT,IEGO1,BP,MPG_MODE,RPM,VSS,AD_CHANNEL_VCAL,AD_CHANNEL_TAR,AD_CHANNEL_BAT,AD_CHANNEL_OCC,AD_CHANNEL_TP,AD_CHANNEL_ACT,AD_CHANNEL_ECT,AD_CHANNEL_NDS,AD_CHANNEL_IEGO,28C,28D,28E,ACT,ECT,ATMR1,ATMR2,ATMR3,APT,RATCH,TAR,TP_REL,VBAT,LOAD_FUEL,LOAD_VE,MAP,VE,OLFLG,WOTFLG,0x93,0xA3,0x26,0xBD,0xDC,0x2C4,0x1DE,0xB7,0x40,0x1A,0x3C,0x21C,0x9C,0x15C,LTFT1,LTFT2,STFT1,STFT2,HP,TQ,IMPG,MPG,DIST,INJDC1,INJDC2,GEAR,AFR_Error,Marker
0.184,0,1.28125,1,0.878876202,266,27.17285217,0,0,5.25,5.25,1018,29.875,4,640,0,512,347,440,1,227,454,543,0,1018,0,0,0,84,102,52,0,52,255,1.109405547,0,1.109481916,12,0.5546875,0.5625,16.75,0,12,0,132,10,150,43,39,0,0,56,192,168,200,14528,2902,99,0,0,93.9967474,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
0.224,0,1.28125,1,0.878876202,266,27.17285217,0,0,5.25,5.25,1018,29.875,4,640,0,512,347,440,1,227,454,543,0,1018,0,0,0,84,102,52,0,52,255,1.109405547,0,1.109481916,12,0.5546875,0.5546875,16.75,0,12,0,132,10,150,43,39,0,0,56,192,168,2,14528,3071,90,0,0,93.9967474,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
0.263,0,1.28125,1,0.878876202,266,27.34985413,0,0,4.25,4.25,1018,29.875,4,663,0,512,343,440,1,227,454,543,0,1018,0,0,0,84,102,52,0,52,255,1.109405547,0,1.109481916,12,0.5546875,0.5546875,16.75,0,12,0,132,10,150,43,39,0,0,56,192,168,2,14528,3071,90,0,0,93.9967474,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
0.302,0,1.3125,1,0.878876202,273,27.34985413,0,0,4.5,4.75,1018,29.875,4,690,0,512,339,432,1,227,454,543,0,1018,0,0,0,84,102,52,0,52,255,1.109405547,0,1.109481916,11.9375,0.5546875,0.5546875,16.75,0,12,0,132,10,150,43,39,0,0,56,192,168,2,14528,3204,68,0,0,93.9967474,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
0.342,0,1.28125,1,0.878876202,266,27.34985413,0,0,2.25,2.25,1018,29.875,4,727,0,512,345,439,1,227,454,543,0,1018,0,0,0,84,102,52,0,52,255,1.109405547,0,1.109481916,11.9375,0.5546875,0.5546875,16.625,0,12,0,132,11,150,43,39,0,0,56,192,168,2,14528,3204,68,0,0,93.9967474,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
0.382,0,1.28125,1,0.878876202,266,27.34985413,0,0,2.25,2.25,1018,29.875,4,727,0,512,345,439,1,227,454,543,0,1018,0,0,0,84,102,52,0,52,255,1.109405547,0,1.109481916,11.9375,0.5546875,0.5546875,16.625,0,12,0,132,11,150,43,39,0,0,56,192,168,2,14528,3406,38,0,0,93.9967474,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
0.422,0,1.3125,1,0.878876202,273,27.34985413,0,0,2,2,1019,29.875,4,730,0,512,343,437,1,227,454,543,0,1019,0,0,0,84,102,52,0,52,255,1.109405547,0,1.109481916,12,0.5546875,0.546875,16.5,0,12,0,132,10,150,43,39,0,0,56,192,168,2,14528,3403,37,0,0,93.9967474,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
0.461,0,1.28125,1,0.881370192,266,27.34985413,0,0,1.5,1.5,1018,29.875,4,735,0,512,333,439,1,227,454,543,0,1018,0,0,0,84,102,52,0,52,255,1.109405547,0,1.109481916,11.9375,0.5390625,0.546875,16.25,0,12,0,132,11,150,43,39,0,0,56,192,168,2,14528,3388,35,0,0,93.97971194,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
0.5,0,1.28125,1,0.881370192,266,27.34985413,0,0,1.5,1.5,1018,29.875,4,735,0,512,333,439,1,227,454,543,0,1018,0,0,0,84,102,52,0,52,255,1.109405547,0,1.109481916,12,0.546875,0.546875,16.375,0,12,0,132,10,150,43,39,0,0,56,192,168,2,14528,2974,89,0,0,93.97971194,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
0.54,0,1.28125,1,0.880198317,266,27.34985413,0,0,3,3,1018,29.875,4,664,0,512,341,439,1,227,453,543,0,1018,0,0,0,84,102,52,0,52,255,1.109405547,0,1.109481916,12,0.546875,0.546875,16.375,0,12,0,132,10,150,43,39,0,0,56,192,168,2,14528,2974,89,0,0,93.97971194,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
0.58,0,1.28125,1,0.880198317,266,27.34985413,0,0,3,3,1018,29.875,4,664,0,512,341,439,1,227,453,543,0,1018,0,0,0,84,102,52,0,52,255,1.109405547,0,1.109481916,12,0.546875,0.546875,16.375,0,12,0,132,10,150,43,39,0,0,56,192,168,2,14528,2974,89,0,0,93.98771655,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
